nev,ncv,tol,max_restarts,p,which
3,20,1e-8,40000,10,"LM"
6,20,1e-8,40000,12,"LM"
10,20,1e-8,40000,16,"LM"
12,30,1e-8,40000,21,"LM"
18,40,1e-8,40000,30,"LM"
20,50,1e-8,40000,40,"LM"
20,100,1e-8,40000,50,"LM"
3,20,1e-8,40000,10,"LR"
6,20,1e-8,40000,12,"LR"
10,20,1e-8,40000,16,"LR"
12,30,1e-8,40000,21,"LR"
18,40,1e-8,40000,30,"LR"
20,50,1e-8,40000,40,"LR"
20,100,1e-8,40000,50,"LR"
